
















q2_results.review_year,q2_results.review_month,q2_results.review_count,q2_results.avg_rating,q2_results.low_rating_share,q2_results.verified_purchase_ratio,q2_results.avg_helpful_vote
2010,1,227,3.815,0.2203,0.6608,17.837
2010,2,286,3.8846,0.1993,0.7343,6.3007
2010,3,273,3.9524,0.1612,0.7656,11.2857
2010,4,219,3.7991,0.2511,0.7123,9.6484
2010,5,230,3.8739,0.2130,0.7261,7.2609
2010,6,252,3.9881,0.1984,0.7063,6.8373
2010,7,239,3.9414,0.1883,0.7573,7.7992
2010,8,303,3.8053,0.2310,0.7492,8.0033
2010,9,331,4.0634,0.1843,0.7855,3.6858
2010,10,319,3.9655,0.1818,0.7524,11.4201
2010,11,372,3.9651,0.1962,0.7984,7.25
2010,12,447,3.7942,0.2170,0.6890,5.9262
2011,1,536,3.7873,0.2388,0.7369,6.334
2011,2,463,3.9114,0.2181,0.7451,5.6415
2011,3,518,3.9093,0.1988,0.7548,10.1583
2011,4,459,3.8497,0.2157,0.7582,6.061
2011,5,479,3.8622,0.2255,0.7599,5.3528
2011,6,472,3.8877,0.2203,0.7500,4.7691
2011,7,593,3.9528,0.2024,0.7454,5.7673
2011,8,681,3.8737,0.2232,0.7636,7.511
2011,9,762,4.1759,0.1522,0.8320,4.6365
2011,10,725,3.9655,0.2000,0.7917,6.3917
2011,11,810,3.9716,0.1963,0.7679,7.6173
2011,12,1035,4.0454,0.1865,0.7903,3.6164
2012,1,1145,3.9659,0.2000,0.8227,2.9677
2012,2,979,4.0051,0.1910,0.8253,4.2012
2012,3,866,4.0162,0.1836,0.8002,4.3187
2012,4,775,4.0065,0.1871,0.7768,5.169
2012,5,793,3.9218,0.2169,0.7692,4.3569
2012,6,845,3.9858,0.1976,0.7846,4.3609
2012,7,1002,3.9611,0.2096,0.8174,3.8852
2012,8,957,3.9206,0.2278,0.8255,3.1296
2012,9,1103,4.0435,0.1931,0.8413,3.0045
2012,10,1312,4.0739,0.1753,0.8567,3.0023
2012,11,1810,4.1983,0.1459,0.8652,2.0481
2012,12,3478,4.2694,0.1159,0.9132,1.4661
2013,1,4060,4.2394,0.1256,0.9017,1.7037
2013,2,3559,4.2518,0.1256,0.8997,1.9258
2013,3,3702,4.2858,0.1143,0.9217,1.3809
2013,4,3231,4.2671,0.1154,0.9301,2.0495
2013,5,3304,4.257,0.1217,0.9225,1.7548
2013,6,3174,4.213,0.1267,0.9171,2.7883
2013,7,3586,4.2203,0.1258,0.9163,2.4964
2013,8,3712,4.2452,0.1207,0.9205,1.6746
2013,9,3188,4.2029,0.1343,0.9169,1.7274
2013,10,3642,4.2364,0.1296,0.9303,1.8539
2013,11,3389,4.1455,0.1475,0.9130,2.2785
2013,12,4568,4.1891,0.1434,0.9240,1.7528
2014,1,5391,4.233,0.1313,0.9332,1.4007
2014,2,4669,4.2362,0.1311,0.9351,1.2926
2014,3,5019,4.2222,0.1333,0.9261,1.3212
2014,4,4219,4.2411,0.1325,0.9151,2.8061
2014,5,4142,4.2569,0.1330,0.9314,1.5234
2014,6,4240,4.2583,0.1316,0.8899,1.6139
2014,7,7744,4.3604,0.1056,0.8492,1.007
2014,8,7886,4.3747,0.1030,0.8482,0.7976
2014,9,7654,4.3635,0.1060,0.8461,0.8197
2014,10,7971,4.3661,0.1038,0.8439,0.8274
2014,11,7693,4.3232,0.1183,0.9065,0.971
2014,12,9926,4.364,0.1054,0.9565,0.8245
2015,1,10434,4.3252,0.1150,0.9541,0.9951
2015,2,10516,4.3579,0.1090,0.9539,1.1304
2015,3,11310,4.3585,0.1077,0.9631,0.8669
2015,4,9810,4.3591,0.1070,0.9581,0.8712
2015,5,9543,4.3378,0.1143,0.9520,1.1019
2015,6,9443,4.3327,0.1172,0.9567,0.9288
2015,7,10080,4.3385,0.1149,0.9588,0.9363
2015,8,10567,4.367,0.1083,0.9571,0.8745
2015,9,9907,4.3478,0.1176,0.9526,0.8196
2015,10,10474,4.3729,0.1086,0.9608,0.8557
2015,11,10716,4.3547,0.1121,0.9590,0.8918
2015,12,8694,4.2503,0.1404,0.9341,1.3424
2016,1,11487,4.2867,0.1273,0.9492,1.3366
2016,2,11584,4.3254,0.1216,0.9510,1.3438
2016,3,14209,4.3526,0.1134,0.9585,0.9923
2016,4,10371,4.3306,0.1191,0.9467,1.8127
2016,5,12103,4.3459,0.1131,0.9593,1.0939
2016,6,12004,4.3552,0.1128,0.9495,1.1053
2016,7,12972,4.364,0.1136,0.9499,1.4163
2016,8,13631,4.3685,0.1096,0.9464,1.2265
2016,9,12663,4.3359,0.1181,0.9412,1.1095
2016,10,12734,4.3525,0.1142,0.9495,1.0621
2016,11,11873,4.3543,0.1147,0.9447,1.232
2016,12,16759,4.37,0.1106,0.9517,0.9791
2017,1,17898,4.3869,0.1103,0.9595,0.8746
2017,2,14496,4.3738,0.1160,0.9615,0.9074
2017,3,17202,4.3706,0.1146,0.9580,0.9374
2017,4,14361,4.3434,0.1217,0.9520,0.971
2017,5,12310,4.3311,0.1237,0.9571,1.3318
2017,6,11714,4.2663,0.1426,0.9621,1.3782
2017,7,12441,4.2792,0.1379,0.9614,1.2408
2017,8,15096,4.3246,0.1243,0.9653,1.0688
2017,9,13765,4.3226,0.1260,0.9623,1.027
2017,10,12833,4.2854,0.1391,0.9645,1.2688
2017,11,12839,4.2496,0.1481,0.9550,1.3503
2017,12,13188,4.2378,0.1487,0.9589,1.4035
2018,1,17767,4.2861,0.1383,0.9742,1.2737
2018,2,15791,4.2613,0.1431,0.9703,1.1382
2018,3,17872,4.2836,0.1356,0.9722,1.2475
2018,4,15951,4.2671,0.1405,0.9726,1.2864
2018,5,14205,4.2268,0.1524,0.9723,1.2208
2018,6,15227,4.283,0.1401,0.9739,1.2862
2018,7,15975,4.2635,0.1452,0.9668,1.195
2018,8,15730,4.2784,0.1429,0.9683,1.2788
2018,9,13125,4.3096,0.1370,0.9720,1.3954
2018,10,14101,4.2985,0.1435,0.9643,1.3091
2018,11,14297,4.3159,0.1393,0.9593,1.3749
2018,12,17720,4.3589,0.1283,0.9623,1.0638
2019,1,19002,4.3219,0.1363,0.9631,1.2299
2019,2,16144,4.2955,0.1425,0.9696,1.0596
2019,3,18531,4.3246,0.1354,0.9725,1.135
2019,4,17757,4.3283,0.1358,0.9765,1.2513
2019,5,20409,4.3752,0.1242,0.9771,1.0382
2019,6,21160,4.4117,0.1156,0.9783,0.9702
2019,7,26258,4.4247,0.1112,0.9793,0.9193
2019,8,22938,4.3825,0.1221,0.9761,0.9699
2019,9,20598,4.3615,0.1269,0.9779,0.8476
2019,10,21273,4.3619,0.1275,0.9806,0.8375
2019,11,22933,4.3418,0.1325,0.9798,0.7821
2019,12,31229,4.3752,0.1227,0.9823,0.5988
2020,1,35086,4.3632,0.1255,0.9834,0.9394
2020,2,29837,4.3552,0.1276,0.9825,0.9295
2020,3,23132,4.2816,0.1474,0.9799,0.9933
2020,4,18317,4.2031,0.1692,0.9741,0.8523
2020,5,22305,4.1926,0.1690,0.9777,0.8603
2020,6,22373,4.1882,0.1701,0.9759,0.8602
2020,7,25231,4.1979,0.1680,0.9770,0.8642
2020,8,26687,4.1963,0.1657,0.9807,0.7947
2020,9,24959,4.2129,0.1629,0.9800,0.759
2020,10,26108,4.2211,0.1600,0.9779,0.8047
2020,11,24116,4.2236,0.1581,0.9772,0.6029
2020,12,29785,4.2598,0.1499,0.9743,0.6251
2021,1,33076,4.279,0.1456,0.9773,0.5842
2021,2,31269,4.2221,0.1583,0.9799,0.5604
2021,3,36377,4.2264,0.1583,0.9812,0.5323
2021,4,33387,4.2197,0.1602,0.9785,0.6334
2021,5,28396,4.1389,0.1780,0.9744,0.6276
2021,6,28579,4.1681,0.1728,0.9764,0.6505
2021,7,30350,4.1397,0.1790,0.9738,0.6388
2021,8,28049,4.132,0.1816,0.9750,0.5375
2021,9,23374,4.1055,0.1864,0.9713,0.4801
2021,10,22505,4.0712,0.1963,0.9685,0.5602
2021,11,21684,4.0695,0.1975,0.9748,0.4792
2021,12,24357,4.1113,0.1852,0.9729,0.4402
2022,1,26304,4.0833,0.1917,0.9724,0.5063
2022,2,22061,4.0192,0.2091,0.9709,0.5454
2022,3,23535,4.0026,0.2117,0.9738,0.5881
2022,4,22714,4.0376,0.2034,0.9722,0.5608
2022,5,21789,4.0216,0.2096,0.9692,0.6147
2022,6,22275,3.9837,0.2171,0.9658,0.6035
2022,7,26412,3.985,0.2163,0.9601,0.619
2022,8,28674,4.0007,0.2113,0.9530,0.673
2022,9,25273,4.0047,0.2106,0.9554,0.5816
2022,10,25596,4.0162,0.2085,0.9309,0.6202
2022,11,24624,4.0462,0.2000,0.9067,0.5855
2022,12,26939,4.0788,0.1900,0.9186,0.5141
2023,1,29993,4.0783,0.1911,0.9169,0.4485
2023,2,24625,4.0038,0.2099,0.9160,0.4045
2023,3,28243,4.036,0.2020,0.9236,0.319
2023,4,16601,3.9314,0.2279,0.9189,0.3043
2023,5,9591,3.8265,0.2574,0.9533,0.3006
2023,6,6061,3.7784,0.2709,0.9683,0.3661
2023,7,4803,3.8416,0.2559,0.9696,0.3042
2023,8,3247,3.9963,0.2159,0.9606,0.1832
2023,9,191,4.0366,0.2251,0.9686,0.0209

